"","Taxon2","Taxon1","Realm","Plots","Datasets","modelName"
"240","Diptera","Opiliones","Terrestrial",26,3,"Opil_Dipt_T"
"242","Diptera","Orthoptera","Terrestrial",82,4,"Orth_Dipt_T"
"250","Diptera","Psocoptera","Terrestrial",66,3,"Psoc_Dipt_T"
"252","Diptera","Sarcoptiformes","Terrestrial",52,1,"Sarc_Dipt_T"
"258","Diptera","Trombidiformes","Terrestrial",25,1,"Trom_Dipt_T"
"444","Hemiptera","Neuroptera","Terrestrial",28,4,"Neur_Hemi_T"
"448","Hemiptera","Opiliones","Terrestrial",27,3,"Opil_Hemi_T"
"453","Hemiptera","Plecoptera","Freshwater",36,4,"Plec_Hemi_F"
"458","Hemiptera","Psocoptera","Terrestrial",67,3,"Psoc_Hemi_T"
"460","Hemiptera","Sarcoptiformes","Terrestrial",52,1,"Sarc_Hemi_T"
"462","Hemiptera","Thysanoptera","Terrestrial",40,4,"Thys_Hemi_T"
"466","Hemiptera","Trombidiformes","Terrestrial",25,1,"Trom_Hemi_T"
"496","Hymenoptera","Neuroptera","Terrestrial",26,2,"Neur_Hyme_T"
"500","Hymenoptera","Opiliones","Terrestrial",27,3,"Opil_Hyme_T"
"502","Hymenoptera","Orthoptera","Terrestrial",82,4,"Orth_Hyme_T"
"510","Hymenoptera","Psocoptera","Terrestrial",67,3,"Psoc_Hyme_T"
"512","Hymenoptera","Sarcoptiformes","Terrestrial",51,1,"Sarc_Hyme_T"
"518","Hymenoptera","Trombidiformes","Terrestrial",25,1,"Trom_Hyme_T"
"548","Lepidoptera","Neuroptera","Terrestrial",27,4,"Neur_Lepi_T"
"552","Lepidoptera","Opiliones","Terrestrial",27,3,"Opil_Lepi_T"
"554","Lepidoptera","Orthoptera","Terrestrial",79,3,"Orth_Lepi_T"
"562","Lepidoptera","Psocoptera","Terrestrial",65,3,"Psoc_Lepi_T"
"564","Lepidoptera","Sarcoptiformes","Terrestrial",51,1,"Sarc_Lepi_T"
"566","Lepidoptera","Thysanoptera","Terrestrial",38,4,"Thys_Lepi_T"
"570","Lepidoptera","Trombidiformes","Terrestrial",24,1,"Trom_Lepi_T"
"653","Megaloptera","Odonata","Freshwater",102,4,"Odon_Mega_F"
"673","Megaloptera","Trombidiformes","Freshwater",169,3,"Trom_Mega_F"
"710","Neuroptera","Orthoptera","Terrestrial",25,2,"Orth_Neur_T"
"718","Neuroptera","Psocoptera","Terrestrial",25,2,"Psoc_Neur_T"
"765","Odonata","Plecoptera","Freshwater",108,4,"Plec_Odon_F"
"814","Opiliones","Orthoptera","Terrestrial",27,3,"Orth_Opil_T"
"874","Orthoptera","Psocoptera","Terrestrial",63,2,"Psoc_Orth_T"
"876","Orthoptera","Sarcoptiformes","Terrestrial",50,1,"Sarc_Orth_T"
"878","Orthoptera","Thysanoptera","Terrestrial",33,3,"Thys_Orth_T"
"882","Orthoptera","Trombidiformes","Terrestrial",24,1,"Trom_Orth_T"
"985","Plecoptera","Trombidiformes","Freshwater",379,2,"Trom_Plec_F"
"1084","Psocoptera","Sarcoptiformes","Terrestrial",48,1,"Sarc_Psoc_T"
"1086","Psocoptera","Thysanoptera","Terrestrial",21,3,"Thys_Psoc_T"
"1090","Psocoptera","Trombidiformes","Terrestrial",23,1,"Trom_Psoc_T"
"1142","Sarcoptiformes","Trombidiformes","Terrestrial",23,1,"Trom_Sarc_T"
